Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug class,Drug name,Drug code
3268,Carrier N,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,K0553,"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",1,1,,,0.1,,,1,,NA,NA,NA
3269,Carrier N,2021,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E1028,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware for joystick, other control interface or positioning accessory",4,1,,,117.2,,,4,,NA,NA,NA
3270,Carrier N,2021,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E1399,"Durable medical equipment, miscellaneous",4,0,,,100,,,4,,NA,NA,NA
3271,Carrier N,2021,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A9999,"Miscellaneous dme supply or accessory, not otherwise specified",3,0,,,139.4,,,3,,NA,NA,NA
3272,Carrier N,2021,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0486,"Oral device/appliance used to reduce upper airway collapsibility, adjustable or non-adjustable, custom fabricated, includes fitting and adjustment",2,0,,,124.7,,,2,,NA,NA,NA
3273,Carrier N,2021,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2402,"Negative pressure wound therapy electrical pump, stationary or portable",2,0.5,,,106.8,,,2,,NA,NA,NA
3274,Carrier N,2021,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,S1040,"Cranial remolding orthosis, rigid, with soft interface material, custom fabricated, includ",2,0.5,,,46.4,,,2,,NA,NA,NA
3275,Carrier A,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,20930,Allograft for spine surgery only morselized,12,0.5,,,167,,,12,,NA,NA,NA
3276,Carrier A,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,44207,"Laparoscopy, surgical; colectomy, partial, with anastomosis, with coloproctostomy (low pelvic anastomosis)",12,1,,,21.2,,,12,,NA,NA,NA
3277,Carrier A,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,43644,Lap gastric bypass/roux-en-y,11,0.55,,70.3,53.1,,1,10,,NA,NA,NA
3278,Carrier A,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,43775,Laps gstrc rstrictiv px longitudinal gastrectomy,10,0.8,,,57.4,,,10,,NA,NA,NA
3279,Carrier A,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,58150,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s);",10,1,,92.4,11.2,,1,9,,NA,NA,NA
3280,Carrier A,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22842,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 3 to 6 vertebral segments (list separately in addition to code for primary procedure)",10,0.8,,63.4,88.5,,1,9,,NA,NA,NA
3281,Carrier A,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,95720,"Electroencephalogram (eeg), continuous recording, physician or other qualified health care professional review of recorded events, analysis of spike and seizure detection, each increment of greater than 12 hours, up to 26 hours of eeg recording, interpretation and report after each 24-hour period; with video (veeg)",10,0.6,,,44.2,,,10,,NA,NA,NA
3282,Carrier A,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,44213,Laps moblj splenic flxr pfrmd w/prtl colectomy,8,1,,,17.1,,,8,,NA,NA,NA
3283,Carrier A,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,27130,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft",8,0.63,,,45.5,,,8,,NA,NA,NA
3284,Carrier A,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,20936,Autograft spine surgery local from same incision,7,0.71,,,149,,,7,,NA,NA,NA
3285,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,44207,"Laparoscopy, surgical; colectomy, partial, with anastomosis, with coloproctostomy (low pelvic anastomosis)",12,1,,,21.2,,,12,,NA,NA,NA
3286,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,58150,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s);",10,1,,92.4,11.2,,1,9,,NA,NA,NA
3287,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,44213,Laps moblj splenic flxr pfrmd w/prtl colectomy,8,1,,,17.1,,,8,,NA,NA,NA
3288,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,44204,"Laparoscopy, surgical; colectomy, partial, with anastomosis",7,1,,,6.2,,,7,,NA,NA,NA
3289,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,J9208,"Injection, ifosfamide, 1 gram",7,1,,,102.3,,,7,,NA,NA,NA
3290,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22614,"Arthrodesis, posterior or posterolateral technique, single level; each additional vertebral segment (list separately in addition to code for primary procedure)",7,1,,,100.7,,,7,,NA,NA,NA
3291,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,96416,"Chemotherapy administration, intravenous infusion technique; initiation of prolonged chemotherapy infusion (more than 8 hours), requiring use of a portable or implantable pump",6,1,,,50.8,,,6,,NA,NA,NA
3292,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,45330,"Sigmoidoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",6,1,,,20.7,,,6,,NA,NA,NA
3293,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,55866,"Laparoscopy, surgical prostatectomy, retropubic radical, including nerve sparing, includes robotic assistance, when performed",5,1,,6.5,3.3,,1,4,,NA,NA,NA
3294,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,J9181,Etoposide injection,5,1,,,124.1,,,5,,NA,NA,NA
3295,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,43644,Lap gastric bypass/roux-en-y,11,0,0.55,70.3,53.1,,1,10,,NA,NA,NA
3296,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22633,"Arthrodesis, combined posterior or posterolateral technique with posterior interbody technique including laminectomy and/or discectomy sufficient to prepare interspace (other than for decompression), single interspace and segment; lumbar",6,0,0.33,63.4,63.8,,1,5,,NA,NA,NA
3297,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,43775,Laps gstrc rstrictiv px longitudinal gastrectomy,10,0,0.8,,57.4,,,10,,NA,NA,NA
3298,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22842,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 3 to 6 vertebral segments (list separately in addition to code for primary procedure)",10,0,0.8,63.4,88.5,,1,9,,NA,NA,NA
3299,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,20930,Allograft for spine surgery only morselized,12,0,0.5,,167,,,12,,NA,NA,NA
3300,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,63053,"Laminectomy, facetectomy, or foraminotomy with lumbar decompression of spinal cord, cauda equina and/or nerve root, during posterior interbody arthrodesis, each additional segment",1,0,0,,25.3,,,1,,NA,NA,NA
3301,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22840,"Posterior non-segmental instrumentation (eg, harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at c1, facet screw fixation) (list separately in addition to code for primary procedure)",4,0,0.5,,91.9,,,4,,NA,NA,NA
3302,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,27279,"Arthrodesis, sacroiliac joint, percutaneous or minimally invasive (indirect visualization), with image guidance, includes obtaining bone graft when performed, and placement of transfixing device",1,0,0,,24,,,1,,NA,NA,NA
3303,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,27130,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft",8,0,0.63,,45.5,,,8,,NA,NA,NA
3304,Carrier A,2022,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,20931,"Allograft, structural, for spine surgery only (list separately in addition to code for primary procedure)",2,0,0.5,,273.7,,,2,,NA,NA,NA
3305,Carrier A,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,HCPC,J0585,Botulinum toxin type a per unit,141,0.89,,26,42,,2,139,,NA,NA,NA
3306,Carrier A,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,66984,Extracapsular cat rem w/ insert lens prosthesis; w/o ecp,98,1,,4,27.4,,1,97,,NA,NA,NA
3307,Carrier A,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,89253,Asstd embryo hatching microtqs any meth,94,0.57,,,107.8,,,94,,NA,NA,NA
3308,Carrier A,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,89258,Cryoprsrv embryo,89,0.75,,,94.4,,,89,,NA,NA,NA
3309,Carrier A,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,89342,"Storage, (per year); embryo(s)",81,0.78,,,81.3,,,81,,NA,NA,NA
3310,Carrier A,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,19318,Breast reduction,81,0.7,,,69.5,,,81,,NA,NA,NA
3311,Carrier A,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,S4022,Asst oocyte fert case rate,73,0.42,,,91.5,,,73,,NA,NA,NA
3312,Carrier A,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,S4016,Frozen ivf case rate,66,0.89,,,55.8,,,66,,NA,NA,NA
3313,Carrier A,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,90837,Psychotherapy w/patient 60 minutes,62,0.98,,,2414.3,,,62,,NA,NA,NA
3314,Carrier A,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,S4011,Ivf package,61,0.67,,,98,,,61,,NA,NA,NA
3315,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,66984,Extracapsular cat rem w/ insert lens prosthesis; w/o ecp,98,1,,4,27.4,,1,97,,NA,NA,NA
3316,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,36475,Endovenous rf 1st vein,52,1,,,55.4,,,52,,NA,NA,NA
3317,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,58558,"Hysteroscopy, surgical; with sampling (biopsy) of endometrium and/or polypectomy, with or without d and c",33,1,,19.1,78.8,,1,32,,NA,NA,NA
3318,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,36478,"Endovenous ablation therapy of incompetent vein, extremity, inclusive of all imaging guidance and monitoring, percutaneous,laser, first vein treated",16,1,,,51.8,,,16,,NA,NA,NA
3319,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,66982,"Extracapsular cataract removal with insertion of intraocular lens prosthesis (1-stage procedure), manual or mechanical technique (eg, irrigation and aspiration or phacoemulsification), complex, requiring devices or techniques not generally used in routin",15,1,,,10.8,,,15,,NA,NA,NA
3320,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,19380,Revj reconstructed breast,13,1,,,24.1,,,13,,NA,NA,NA
3321,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,19357,"Tissue expander placement in breast reconstruction, including subsequent expansion(s)",13,1,,,7.8,,,13,,NA,NA,NA
3322,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,15823,"Blepharoplasty, upper eyelid; with excessive skin weighting down lid",12,1,,,24.9,,,12,,NA,NA,NA
3323,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,36471,Njx sclrsnt mlt incmptnt vn,11,1,,,54.4,,,11,,NA,NA,NA
3324,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,99354,Prolng svc o/p 1st hour,10,1,,33.9,61.6,,2,8,,NA,NA,NA
3325,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,27447,Repair procedures on the femur and knee joint,61,0,0.67,,38.1,,,61,,NA,NA,NA
3326,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,89258,Cryoprsrv embryo,89,0,0.75,,94.4,,,89,,NA,NA,NA
3327,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,27130,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft",54,0,0.76,,39.3,,,54,,NA,NA,NA
3328,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,S4011,Ivf package,61,0,0.67,,98,,,61,,NA,NA,NA
3329,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,89342,"Storage, (per year); embryo(s)",81,0,0.78,,81.3,,,81,,NA,NA,NA
3330,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,31267,Nsl/sinus ndsc max antrost w/rmvl tiss max sinus,30,0,0.53,1.9,60.6,,1,29,,NA,NA,NA
3331,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,19318,Breast reduction,81,0,0.7,,69.5,,,81,,NA,NA,NA
3332,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,31276,"Nasal/sinus endoscopy, surgical, with frontal sinus exploration, including removal of tissue from frontal sinus, when performed",27,0,0.59,9.7,79.2,,2,25,,NA,NA,NA
3333,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,S4015,Complete ivf nos case rate,26,0,0.73,,205.6,,,26,,NA,NA,NA
3334,Carrier A,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,89253,Asstd embryo hatching microtqs any meth,94,0,0.57,,107.8,,,94,,NA,NA,NA
3335,Carrier A,2022,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,Internal,NA,MENTAL HEALTH RESIDENTIAL TREATMENT FACILITY,47,0.91,,26.8,249.3,,4,43,,NA,NA,NA
3336,Carrier A,2022,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,Internal,NA,CHEMICAL DEPENDENCY RESIDENTIAL TREATMENT FACILITY,7,1,,11.4,24.4,,4,3,,NA,NA,NA
3337,Carrier A,2022,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,Internal,NA,MENTAL HEALTH INPATIENT,2,1,,,96,,,2,,NA,NA,NA
3338,Carrier A,2022,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,Internal,NA,DETOXIFICATION,1,1,,,0.1,,,1,,NA,NA,NA
3339,Carrier A,2022,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,Internal,NA,CHEMICAL DEPENDENCY RESIDENTIAL TREATMENT FACILITY,7,1,,11.4,24.4,,4,3,,NA,NA,NA
3340,Carrier A,2022,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,Internal,NA,MENTAL HEALTH INPATIENT,2,1,,,96,,,2,,NA,NA,NA
3341,Carrier A,2022,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,Internal,NA,DETOXIFICATION,1,1,,,0.1,,,1,,NA,NA,NA
3342,Carrier A,2022,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,Internal,NA,MENTAL HEALTH RESIDENTIAL TREATMENT FACILITY,47,0.91,,26.8,249.3,,4,43,,NA,NA,NA
3343,Carrier A,2022,Inpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,Internal,NA,MENTAL HEALTH INPATIENT,2,0,1,,96,,,2,,NA,NA,NA
3344,Carrier A,2022,Inpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,Internal,NA,CHEMICAL DEPENDENCY RESIDENTIAL TREATMENT FACILITY,7,0,1,11.4,24.4,,4,3,,NA,NA,NA
3345,Carrier A,2022,Inpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,Internal,NA,DETOXIFICATION,1,0,1,,0.1,,,1,,NA,NA,NA
3346,Carrier A,2022,Inpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,Internal,NA,MENTAL HEALTH RESIDENTIAL TREATMENT FACILITY,47,0,0.91,26.8,249.3,,4,43,,NA,NA,NA
3347,Carrier A,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,HCPC,H0035,"Mental health partial hospitalization, treatment, less than 24 hours",93,0.98,,9.8,328.8,,2,91,,NA,NA,NA
3348,Carrier A,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,97151,"Behav identification assessmnt, adm by phys or qual prof, ea 15 mins",75,0.99,,,491.7,,,75,,NA,NA,NA
3349,Carrier A,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,97153,"Adaptive behav tx by protocol, adm by tech/sup by phys, ea 15 mins",66,0.88,,,803.1,,,66,,NA,NA,NA
3350,Carrier A,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,97155,Mh oif,65,0.92,,,740.1,,,65,,NA,NA,NA
3351,Carrier A,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,97156,Adaptive behavior treatment procedures,60,0.98,,,636.2,,,60,,NA,NA,NA
3352,Carrier A,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,HCPC,H2036,"Alcohol and/or other drug treatment program, per diem",46,0.87,,81.2,109.1,,2,44,,NA,NA,NA
3353,Carrier A,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,90837,Psychotherapy w/patient 60 minutes,42,0.93,,,730.4,,,42,,NA,NA,NA
3354,Carrier A,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,90868,"Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; subsequent delivery and management, per session",38,0.61,,,239.9,,,38,,NA,NA,NA
3355,Carrier A,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,90867,"Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; initial, including cortical mapping, motor threshold determination, delivery and management",35,0.57,,,204,,,35,,NA,NA,NA
3356,Carrier A,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,90869,Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; subsequent motor threshold re-determination with delivery and management,18,0.56,,,285.2,,,18,,NA,NA,NA
3357,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,90832,"Psychotherapy, 30 minutes with patient",5,1,,,10.9,,,5,,NA,NA,NA
3358,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,99215,Office/outpatient visit established,2,1,,,127.4,,,2,,NA,NA,NA
3359,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,96131,Psychological tst eval svc phys/qhp ea addl hour,2,1,,,22.8,,,2,,NA,NA,NA
3360,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,90847,"Family psychotherapy (conjoint psychotherapy) (with patient present), 50 minutes",2,1,,,176.6,,,2,,NA,NA,NA
3361,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,96137,"Psychological or neuropsychological test administration and scoring by physician or other qualified health care professional, two or more tests, any method; each additional 30 minutes (list separately in addition to code for primary procedure)",2,1,,,22.8,,,2,,NA,NA,NA
3362,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,96130,Psychological tst eval svc phys/qhp first hour,2,1,,,22.8,,,2,,NA,NA,NA
3363,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,90846,Family psychotherapy w/o patient present,2,1,,,2.1,,,2,,NA,NA,NA
3364,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,96136,"Psychological or neuropsychological test by phys,2 or more;first 30 mins",2,1,,,22.8,,,2,,NA,NA,NA
3365,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,90839,Psychotherapy for crisis initial 60 minutes,1,1,,,23.2,,,1,,NA,NA,NA
3366,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,90853,Group psychotherapy (other than of a multiple-family group),1,1,,,24,,,1,,NA,NA,NA
3367,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,90868,"Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; subsequent delivery and management, per session",38,0,0.61,,239.9,,,38,,NA,NA,NA
3368,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,90867,"Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; initial, including cortical mapping, motor threshold determination, delivery and management",35,0,0.57,,204,,,35,,NA,NA,NA
3369,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,99205,Office/outpatient visit new,1,0,0,,115.6,,,1,,NA,NA,NA
3370,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,90836,Psychotherapy 45 min patient with medical svcs,2,0,0.5,,58.6,,,2,,NA,NA,NA
3371,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,90832,"Psychotherapy, 30 minutes with patient",5,0,1,,10.9,,,5,,NA,NA,NA
3372,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,97154,"Group adaptive behavior treatment by protocol, administered by technician under the direction of a physician or other qualified health care professional, face-to-face with two or more patients, each 15 minutes",3,0,0.67,,1527.7,,,3,,NA,NA,NA
3373,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,90791,Psychiatric diagnostic evaluation,14,0,0.86,,124.3,,,14,,NA,NA,NA
3374,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,97151,"Behav identification assessmnt, adm by phys or qual prof, ea 15 mins",75,0,0.99,,491.7,,,75,,NA,NA,NA
3375,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,96130,Psychological tst eval svc phys/qhp first hour,2,0,1,,22.8,,,2,,NA,NA,NA
3376,Carrier A,2022,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,97158,Grp adapt bhv prtcl modifcaj phys/qhp ea 15 min,3,0,0.33,,1527.7,,,3,,NA,NA,NA
3377,Carrier A,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0486,"Oral device/appliance used to reduce upper airway collapsibility, adjustable or non-adjustable, custom fabricated, includes fitting and adjustment",2,0,,,59.7,,,2,,NA,NA,NA
3378,Carrier A,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5652,Suction susp ak/knee disart,1,1,,,28.3,,,1,,NA,NA,NA
3379,Carrier A,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5649,Isch containmt/narrow m-l so,1,1,,,28.2,,,1,,NA,NA,NA
3380,Carrier A,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5845,Knee-shin sys stance flexion,1,1,,,28.3,,,1,,NA,NA,NA
3381,Carrier A,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L8480,Pros sock single ply ak,1,1,,,28.2,,,1,,NA,NA,NA
3382,Carrier A,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5981,All le prostheses,1,1,,,22,,,1,,NA,NA,NA
3383,Carrier A,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L8460,Shrinker above knee,1,1,,,28.2,,,1,,NA,NA,NA
3384,Carrier A,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5950,Endo ak ultra-light material,1,1,,,28.2,,,1,,NA,NA,NA
3385,Carrier A,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5650,Tot contact ak/knee disart s,1,1,,,28.2,,,1,,NA,NA,NA
3386,Carrier A,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5920,Endo ak/hip alignable system,1,1,,,28.2,,,1,,NA,NA,NA
3387,Carrier A,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5652,Suction susp ak/knee disart,1,1,,,28.3,,,1,,NA,NA,NA
